Name,Lat,Lon
Arirang Hibachi Steakhouse,40.6211211,-74.0292923
Mancini's,40.6221369,-74.0260119
East Harbor Seafood Palace,40.63353590000001,-74.0143293
Shobu Sushi,40.6158217,-74.0307129
Tanoreen,40.63079159999999,-74.0277865
Fushimi Bay Ridge,40.61727,-74.03101
Outback Steakhouse,40.61202189999999,-74.0093061
Hazar Turkish Kebab,40.6312,-74.02216
Gino's,40.6299441,-74.0226686
Nature's Grill,40.631608,-74.027502
Starbucks,40.6315684,-74.0275289
Chadwick's,40.62159010000001,-74.0320454
Cebu,40.6219034,-74.0314735
Zio Toto,40.6247417,-74.0302448
Nino's Pizza,40.61980430000001,-74.0328193
Fort Hamilton Community Club,40.6092685,-74.032676
Grand Sichuan House,40.6207443,-74.0266655
Ponte Vecchio,40.62119039999999,-74.0293038
Salty Dog,40.6310894,-74.0276456
Domino's Pizza,40.6188634,-74.0092913
The Kettle Black,40.6228868,-74.0315047
Le Sajj,40.6237074,-74.0247891
Delia's Lounge & Restaurant,40.6188425,-74.0332942
Leo's Casa Calamari,40.62426339999999,-74.0310537
Starbucks,40.6211059,-74.025906
Tommaso,40.61164909999999,-74.0102623
The Wicked Monk,40.6171014,-74.0338467
Bay Ridge Pizza,40.627866,-74.023479
Chopstix,40.62255460000001,-74.0252938
Lioni Italian Heroes,40.615696,-74.004798
Skinflints,40.6265829,-74.0241583
Park Bagels,40.6124216,-74.0115426
Ho'Brah,40.6229944,-74.0314944
Vesuvio Restaurant & Pizzeria,40.6325896,-74.0271415
Greenhouse Cafe,40.6295802,-74.0284223
Omonia Cafe,40.6304279,-74.0284654
Mike's Royal Diner,40.628332,-74.022858
Panino Rustico of Bensonhurst,40.6105068,-74.0031692
Taste of China,40.6183711,-74.0091145
Fuel Fever,40.606699,-74.002896
Elia,40.6230315,-74.0309073
My 3 Sons,40.628392,-74.0065462
China Pagoda,40.633144,-74.021362
Kitty Kiernans,40.6153003,-74.0342062
Papa Johns Pizza,40.60909899999999,-74.0060722
Elegante Pizzeria,40.633019,-74.021369
Fort Hamilton Diner,40.61603729999999,-74.0314793
New China,40.630108,-74.004721
Q Q Star,40.6180844,-74.0305033
Domino's Pizza,40.6188287,-74.0296608
Lamoza,40.6299163,-74.0286175
Sabor Andino,40.6256748,-73.9986294
Spring Garden,40.620798,-74.027151
Burger King,40.6218534,-74.026114
Dyker Beach Golf Course Catering Hall,40.6170396,-74.0205874
BurgerFi,40.61881549999999,-74.0213304
Annabelle's Pastaria,40.6188469,-74.0214309
Middle Eastern Halal Cart,40.6213247,-74.0262531
E Noodle,40.62095290000001,-74.0265241
Sunset Bagels Cafe & Grill Bay Ridge,40.6210245,-74.0268631
Di Fara Pizza,40.6250267,-73.9615228
Bella Pizza,40.629897,-73.961106
Subway,40.6092635,-73.9567466
La Palina,40.610956,-73.978853
Mirage Diner,40.6065909,-73.9650468
Joseph's Dream Burger (JDB),40.6109932,-73.9623562
Starbucks,40.60879449999999,-73.9586893
Olympia Steakhouse,40.6230376,-73.9645564
Cafe Renaissance,40.6063889,-73.9644444
Dunkin',40.62495699999999,-73.9619356
Glatt A La Carte,40.6265615,-73.9824403
Green Pavilion,40.6308994,-73.9761617
Sushi Meshuga,40.6098891,-73.9564246
Moldova,40.6129611,-73.9625876
Papa Johns Pizza,40.6327729,-73.9671091
Italia Pizza,40.6051863,-73.9789154
Peking Kitchen,40.6104666,-73.9852165
Perizia Kosher Pizza,40.6097113,-73.9576802
Sophie's Bistro,40.6108787,-73.9628275
Glatt Family Express,40.63104380000001,-73.9761052
I & D Glatt Kosher Butcher and Market,40.6090244,-73.9695065
7-Eleven,40.6074431,-73.9622244
Lo Duca Pizza,40.6350363,-73.9625705
Starbucks,40.619194,-73.989914
McDonald's,40.6358013,-73.9681507
Dunkin',40.6049554,-73.9765546
Pizza Central of Brooklyn,40.63115000000001,-73.97691
Taco Bell / KFC,40.6076351,-73.9622053
Mazza & More,40.61659799999999,-73.970947
Glatt Coney,40.619421,-73.964515
Sesame - Flatbush,40.6198307,-73.9644282
Rita's Italian Ice & Frozen Custard,40.618055,-73.957959
Burger King,40.6105259,-73.9621397
Very Juice,40.6087917,-73.9717637
My Grill Bar,40.609777,-73.9628271
Crawfords Cafe & Coffee Bar,40.609797,-73.962554
EL PENACHO MEXICAN RESTAURANT,40.6085503,-73.9736713
Dunkin',40.6127666,-73.9822492
Wrap n' Roll,40.6080716,-73.9612262
Glatt Mart,40.6178385,-73.9626468
Subway,40.61234409999999,-73.9833241
Chipotle Mexican Grill,40.60849880000001,-73.9593561
Sunflower Cafe,40.608222,-73.960216
Edo,40.6062822,-73.9615235
Paraiso Azteca,40.60859469999999,-73.9571216
J2 Pizza,40.6249171,-73.9846788
Cafe Lily,40.610067,-73.983566
U & I Coffee Shop,40.6304533,-73.9774157
Best Pizza & Chicken,40.6099261,-73.9842653
Lahori Chilli,40.6324856,-73.9670843
A & L,40.6215929,-73.9878756
Emir Palace,40.6318013,-73.9755365
Urgut Tandir Express,40.6325975,-73.9729
Kosher Hut of Brooklyn,40.60641890000001,-73.965305
New Nice China Town,40.63398549999999,-73.963577
Gourmet Sweets & Restaurant,40.6306482,-73.9659411
Super Taco,40.6054494,-73.9809368
Golden Dynasty Restaurant,40.614802,-73.9808057
Carlo's Grocery,40.6241031,-73.9781581
El Gallo Taqueria,40.6033578,-73.9779132
Kings Plaza Shopping Center,40.6100471,-73.9200497
IHOP,40.626286,-73.9175885
Boston Market,40.6292695,-73.9188516
Subway,40.6098053,-73.9196271
La Villa Pizzeria,40.61694439999999,-73.9097222
Duet Bakery and Restaurant,40.6135668,-73.9123296
Nick's Lobster House,40.6036058,-73.9151773
Sosaku,40.6194982,-73.916245
Mill Basin Deli,40.6157057,-73.918124
Little Caesars Pizza,40.6350396,-73.9133993
"D'Amore , Italian Restaurant, Bar ,Dining & Pizzeria - Mill Basin , Brooklyn, NY",40.61464729999999,-73.9127505
Domino's Pizza,40.6215294,-73.9360996
Blue Mountain,40.63102239999999,-73.9279388
Subway,40.6308189,-73.9208462
Yoshi,40.61572230000001,-73.9180739
Everything Yogurt,40.6107089,-73.9204024
Fontana??s Italian Restaurant,40.62055649999999,-73.9170718
The Gourmet Bagel Shoppe,40.61566509999999,-73.9130903
Lagos Lounge,40.61921410000001,-73.9260409
876,40.62012190000001,-73.9273941
Popeyes Louisiana Kitchen,40.61382820000001,-73.9260682
McDonald's,40.6111137,-73.9196856
Main House,40.6119111,-73.9130389
Dunkin',40.61015309999999,-73.919075
Popeyes Louisiana Kitchen,40.60974609999999,-73.9194486
Chipotle Mexican Grill,40.6098192,-73.9216133
Five Guys,40.62656680000001,-73.9163025
Charleys Cheesesteaks,40.6092306,-73.91979
Il Posto,40.62148380000001,-73.9051425
Third & Seven,40.6149669,-73.9360653
Starbucks,40.6228216,-73.9365791
Papa Johns Pizza,40.6353918,-73.9186822
Dunkin',40.6226334,-73.9374536
TKO Chicken,40.614196,-73.9378303
KFC,40.63319449999999,-73.9281128
Bergen Beach Cafe,40.6198764,-73.9069416
George's Luncheonette,40.6192669,-73.9266723
Smokin Grill,40.6191541,-73.9162373
McDonald's,40.61506739999999,-73.9289445
Oasis Diner,40.61795829999999,-73.9320306
Grand Wok,40.60931129999999,-73.9316767
Gourmet Grill,40.61939820000001,-73.9160189
Original Pizza,40.62063250000001,-73.917176
China New Star,40.6160023,-73.929836
Popeyes Louisiana Kitchen,40.6334685,-73.9287356
Golden Village,40.6339574,-73.9192875
Lenny & John's Pizza,40.62011969999999,-73.9345332
Wendy's,40.6349652,-73.9146578
Floridian Plaza Diner,40.6141905,-73.9270267
Frank's Pizza,40.617683,-73.931788
Peaceful,40.6349232,-73.91355
Dagan Kosher Pizza,40.6136527,-73.9122279
Spring Garden,40.61864499999999,-73.929376
Brand New Hot Wok,40.6255693,-73.928151
Salvi,40.6176295,-73.9319386
China Wok,40.6155768,-73.9184255
Domino's Pizza,40.6333781,-73.9194354
Plaza King Coffee Shop,40.61016629999999,-73.9222683
China Tokyo,40.61938000000001,-73.9179113
Footloose Cafe,40.6167337,-73.9308932
Melody Lanes,40.652779,-74.002944
Brooklyn Crab,40.6752185,-74.0165855
Slice of Brooklyn,40.6568365,-74.0014392
Royal Kings Pizza,40.64356229999999,-74.011625
Luigi?€?s Pizza,40.646715,-74.008858
Subway,40.6516227,-74.0038956
Subway,40.646593,-74.019276
Tacos El Bronco,40.6500716,-74.0092176
Kofte Piyaz,40.6513824,-74.0034576
Lutheran Luncheonette,40.64663169999999,-74.0197638
Sunset Park Diner & Donuts,40.65129209999999,-74.0036999
Hometown Bar-B-Que,40.6749167,-74.0161583
Tacos Matamoros,40.6478755,-74.0078615
Alex's Pizza Slice,40.651011,-74.003984
Taco Mix,40.6564115,-74.0088009
Costco Food Court,40.6556652,-74.0087316
Kotti Berliner D??ner Kebab,40.6562886,-74.0080699
Table 87,40.656145,-74.0079376
Avo,40.65623389999999,-74.0078525
Papa Johns Pizza,40.6406327,-74.0152854
Ends Meat,40.65611869999999,-74.0076296
Gran Villa,40.653375,-74.0091392
C-Xique,40.6508352,-74.0117354
Yafa Deli & Grill,40.649253,-74.0094
Pete's Brooklyn Eats,40.6466267,-74.0232976
Pariscien Bakery,40.64699,-74.0116532
George's,40.6410048,-74.0143479
Los Cabos,40.650251,-74.0046842
La Flor De Izucar Caf??,40.6501564,-74.0047675
Tacos El Bronco,40.65210319999999,-74.0031268
Pollo Campero,40.647564,-74.00795
Dunkin',40.6506761,-74.0041554
Nieves Tia Mimi,40.6464059,-74.0086293
J Petal,40.64604980000001,-74.0091172
Almonte Deli,40.6582517,-74.0000336
IKEA Restaurant,40.6717398,-74.0114376
Metro Bagel & Cafe,40.64163829999999,-74.017341
New Tung Hing,40.6450019,-74.0144492
Domino's Pizza,40.652386,-74.0060359
Bistro Fifty Four,40.64663169999999,-74.0197638
La Familia,40.6549115,-74.0041074
Goody,40.6426465,-74.0095179
La Parada 2,40.6410583,-74.0178631
China 1,40.6431414,-74.0163672
McDonald's,40.6537575,-74.0054143
Jalape??os,40.64107779999999,-74.0149326
Maria's Bistro Mexicano,40.651485,-74.003934
Od's,40.641357,-74.0174973
McDonald's,40.644005,-74.011246
Irish Haven,40.64194440000001,-74.0169444
China Delight,40.6504321,-74.0046059
KFC,40.65922929999999,-73.9998152
Zona Sur Bar Bistro,40.65024450000001,-74.0090484
Hero Champ,40.6557786,-74.0066133
New King Wok,40.647798,-74.011578
Sunset Bagels,40.64542789999999,-74.0097049
La Parada,40.6567645,-74.0015908
Castillo Restaurant,40.65038719999999,-74.0050513
La Carreta,40.6457809,-74.0127514
Usuluteco,40.6502273,-74.0047276
King of Tandoor,40.6589266,-73.9607152
Sake Sushi,40.6438008,-73.976716
The Double Windsor,40.6606288,-73.9805259
Kam Hai,40.6474974,-73.9737626
Fonda,40.663619,-73.984576
Tom?€?s Restaurant,40.6744671,-73.9632833
Just Salad,40.6695269,-73.9796223
MangoSeed Restaurant,40.6545325,-73.9594196
Cheryl's Global Soul,40.673597,-73.9674625
Terrace Coffee Shop,40.6544403,-73.9792952
Greenwood Park,40.65936200000001,-73.987857
Bareburger,40.6719354,-73.9777173
Wendy's,40.6629397,-73.9616985
Hanco's,40.6661963,-73.982383
Subway,40.6672587,-73.9565808
Energy Fuel,40.6639081,-73.9909703
The Gate,40.67257680000001,-73.9832456
Banhmigos,40.6755182,-73.9743366
Yummy Thai,40.67605049999999,-73.9713765
SottoVoce,40.6699181,-73.9787674
The Dram Shop Bar,40.6688796,-73.9850597
Elora?€?s,40.6584636,-73.9823511
Five Guys,40.6685639,-73.9803877
Happy Fresh Tortillas Grill,40.66768070000001,-73.9806299
Bagel Pub,40.6696817,-73.9869006
7th Ave Donuts & Diner,40.6672739,-73.9815347
AKO Asian,40.6585694,-73.9822302
Park Slope Ale House,40.6706291,-73.9820343
Luck Thai,40.6709863,-73.9850464
Hamilton's,40.6487114,-73.9773176
Bar Toto,40.666931,-73.9847017
Szechuan Delight,40.6725352,-73.9770901
Pearl Indian Restaurant,40.67322540000001,-73.9573128
Scottadito Osteria Toscana,40.6747464,-73.9765376
Lenny's Pizza,40.6627413,-73.9510526
Green Lake,40.6532511,-73.9591885
McDonald's,40.6637266,-73.9600627
Couleur Caf??,40.6633241,-73.9842706
Windsor Cafe,40.66014000000001,-73.98077
Ten,40.6634748,-73.9847247
Pizza Plus,40.6658734,-73.9821425
Purity Diner,40.66791079999999,-73.9804194
Kimchi Grill,40.6751034,-73.9634298
Pino's La Forchetta Pizza,40.6712628,-73.9775736
Daisy's Diner,40.6690182,-73.9867448
Yamato,40.67198339999999,-73.9776527
Terrace Bagels,40.66008900000001,-73.980953
Popeyes Louisiana Kitchen,40.663099,-73.9611398
Colson Patisserie,40.66785,-73.9839361
Cafe Madeline,40.6419218,-73.9634109
Gloria's,40.6642571,-73.950853
Fifth Avenue Diner,40.6696476,-73.9860955
Allan's Bakery,40.660639,-73.9504195
Black Horse,40.6651207,-73.9899017
Da Nonna Rosa,40.672897,-73.976928
Franklin Park,40.6722765,-73.9578711
Cousin John's Cafe & Bakery,40.6756778,-73.9748789
Papa Johns Pizza,40.6570626,-73.9529111
Burger King,40.6478978,-73.957952
Nuevo Mexico,40.667557,-73.987405
Footprints Cafe,40.6447353,-73.9213128
Subway,40.6692684,-73.9308926
Subway,40.6522328,-73.9290593
Subway,40.6614502,-73.920089
Lucky Star,40.66930199999999,-73.906423
Domino's Pizza,40.66987079999999,-73.9082278
Wendy's,40.661171,-73.9310654
Ali's Roti,40.6664746,-73.9311441
Crown Fried Chicken,40.6617767,-73.9150281
Three Star Juice Lounge,40.66170930000001,-73.93178
West Cuisine,40.6566727,-73.9275347
Fix-U-Plate,40.6608782,-73.9207371
WB,40.6549456,-73.916885
Hardee Chinese & American Cusine,40.6619151,-73.9153639
McDonald's,40.6526983,-73.9231986
Kansas Chicken and Burger,40.6641531,-73.9238376
Richness,40.66393600000001,-73.9248989
Blendzville Cafe,40.6653926,-73.9228297
Simone's,40.6565045,-73.9301865
Nanni Health Food Store,40.6521698,-73.9277759
McDonald's,40.6561686,-73.9306141
Subway,40.66879459999999,-73.9176239
Tasty Caribbean NY,40.6521397,-73.9307597
Pizza Hut,40.6688607,-73.9175668
Fisherman's Cove,40.65185719999999,-73.9308034
The Hills Restaurant,40.65142199999999,-73.9329533
Gerizim Burger Factory,40.6698073,-73.9226276
McDonald's,40.669307,-73.912406
Dunkin',40.6463934,-73.9132448
Pitkin Seafood,40.6694407,-73.9114369
Pizza Hut,40.6459645,-73.9146565
Sal & Paul's Pizzeria,40.669406,-73.911043
Dunkin',40.66814,-73.9310068
Linda's,40.6522623,-73.9267767
Brownsville Community Culinary Center,40.6688986,-73.90782
$1.50 Hot Pizza Utica,40.66917710000001,-73.9308666
Crown Grill Chicken and Salad,40.67005880000001,-73.9096558
Burger King,40.6574543,-73.9006452
Crown Fried Chicken,40.6693571,-73.906462
Izzy's Brooklyn Smokehouse,40.664888,-73.9368432
Soldier's,40.67079409999999,-73.9304809
Dunkin',40.6726242,-73.9115007
Stumpy's Spot 2,40.6679935,-73.9032452
Fefitas,40.6693443,-73.9335585
Topaze,40.6513334,-73.9324515
Ooh La La Lounge and Bar,40.6741103,-73.9193079
Island Burger,40.66170930000001,-73.93178
Hong Li,40.6706561,-73.9056844
Burger King,40.65275630000001,-73.9195159
Shun Fat Kitchen,40.6695465,-73.9098533
michees,40.662778,-73.926607
PJ Caribbean Restaurant,40.670922,-73.933989
Wendy's,40.6485572,-73.9145914
Brooklyn Artisan Bakehouse,40.66407900000001,-73.9402156
Domino's Pizza,40.6614114,-73.9200247
Flavors Paradise,40.6708596,-73.9039913
China Restaurant,40.6502778,-73.93
Shell,40.6612361,-73.9205896
Hardee on Utica,40.6716898,-73.9306544
Steph's Cake Shop,40.6457939,-73.903244
Olive Garden Italian Restaurant,40.65149299999999,-73.869339
Red Lobster,40.65095600000001,-73.870081
Lindenwood Diner,40.66985100000001,-73.8574618
La Villa Pizzeria,40.6665391,-73.8521114
Kennedy Fried Chicken Pizza and Juice Bar,40.6665269,-73.8829093
Buffalo Wild Wings,40.6552978,-73.868096
Smashburger,40.65345629999999,-73.8715154
Panera Bread,40.65341099999999,-73.8714924
Pizza Studio,40.65326260000001,-73.8715863
Applebee's Grill + Bar,40.6539577,-73.8734243
Dunkin',40.65086799999999,-73.874035
City Fresh Supermarket.,40.6467159,-73.8838041
Santo Domingo Restaurant,40.6677721,-73.8789127
Crown Fried Chicken & Pizza,40.6667772,-73.8813239
IHOP,40.6501209,-73.8900753
Domino's Pizza,40.6541161,-73.886797
Jade Linden,40.66978470000001,-73.856884
Kennedy chicken Shake ?€?n Burger,40.6553066,-73.8875919
Little Caesars Pizza,40.653619,-73.887711
Crown Fried Chicken & Pizza,40.6726283,-73.8743494
Jus Chill,40.6646756,-73.8872083
Checkers,40.6583674,-73.8898373
Popeyes Louisiana Kitchen,40.6569827,-73.889865
Policano?€?s Italian Sausage,40.6706255,-73.856099
Linden Fried Chicken,40.6682749,-73.8684798
Dunkin',40.6591106,-73.8905342
Papa Johns Pizza,40.6551145,-73.8875197
Golden China,40.671596,-73.881446
All American Bagel & Barista Company,40.6668359,-73.8507508
Panda Kitchen,40.6552282,-73.8875086
Royal,40.65511250000001,-73.8875049
Dunkin',40.6665913,-73.8520227
Armandos Pizza,40.6466717,-73.8834667
Dunkin',40.6722931,-73.8565304
Stanley Coffee Shop,40.6595333,-73.8839955
Appayon,40.6753916,-73.8702295
Crown Fried Chicken & Pizza,40.6753201,-73.8657611
McDonald's,40.6701465,-73.8603263
Three Brother's,40.6599487,-73.8850488
Subway,40.649363,-73.8893499
Caricom Foods,40.66369229999999,-73.8723552
McDonald's,40.6578342,-73.8897211
Crown Fried Chicken,40.66069919999999,-73.8848584
Original Napoli's Pizza,40.6732204,-73.869725
Golden Krust Caribbean Restaurant,40.646679,-73.8833024
Wendy's,40.6581008,-73.8907707
China Star,40.6466933,-73.8835078
Boston Raw Food/Kent's Natural Blend juices,40.6577851,-73.8729815
Dunkin',40.654879,-73.869384
Fusion East,40.65593749999999,-73.8733912
Crown Fried Chicken & Pizza,40.65541940000001,-73.8729178
Red Crab Juicy Seafood,40.6542755,-73.8668077
Dallas BBQ,40.6542755,-73.8668077
Sally?€?s Caribbean Restaurant,40.6542755,-73.8668077
Five Guys,40.6540962,-73.8672625
International Coffee Shop,40.6617689,-73.8734693
Pizza Hut Express,40.6529944,-73.870071
Across The Islands Cuisine,40.657696,-73.8764091
Chick-fil-A,40.6524063,-73.8710342
Uluangie's Hawaiian Shave Ice,40.66187350000001,-73.877761
Beckett's Sports Bar,40.7041262,-74.0103423
The Seaport,40.70647830000001,-74.0032751
Delmonico's,40.7050268,-74.0102557
Harry's,40.7046763,-74.0097371
The Capital Grille,40.707847,-74.010226
Trinity Place,40.708882,-74.0114326
Ulysses',40.70445409999999,-74.0100116
Stone Street Tavern,40.7042597,-74.0102413
The View at Battery Park Beer Garten,40.7015278,-74.0151
Tajin,40.7077343,-74.013552
Harry's Italian,40.707462,-74.0067869
Mad Dog & Beans Mexican Cantina,40.70418519999999,-74.0102748
Kest?? Pizza e Vino,40.70927729999999,-74.0049159
Shake Shack Battery Park City,40.7152189,-74.0148807
Red Mango,40.70997029999999,-74.00671
Len's Papaya,40.7013064,-74.0132133
Starbucks,40.711265,-74.0155673
Chipotle Mexican Grill,40.7042968,-74.012958
"The Dead Rabbit, New York City",40.70326850000001,-74.0110218
Starbucks,40.704655,-74.009
Ashby's,40.7082523,-74.0109974
Wendy's,40.7100584,-74.0080436
McDonald's,40.7094789,-74.0100364
P.J. Clarke's On The Hudson,40.71371120000001,-74.0162387
Squire's Diner,40.7088676,-74.0039463
Cowgirl SeaHorse,40.7082332,-74.0005406
Subway,40.7068366,-74.0115901
Chipotle Mexican Grill,40.7067254,-74.0069351
